,Datetime,Tweet Id,Content,Location,Retweeted Tweet,Retweeted Count,Like Count,Hashtags,Follower Count,Verified User
0,2021-04-17 23:43:36+00:00,1383566847610552326,"@ArvindKejriwal  @msisodia @narendramodi @drharshvardhan    @ndtv @aajtak Dear Sir,
I am suffering from very high fever 103-104 due to pneumonia. It is bacterial pneumonia and I have do not have #COVID.

No hospital is taking me in.please helpI am coughing blood from last 2 days",,,0,0,['COVID'],5,False
1,2021-04-17 23:39:56+00:00,1383565925224370177,"@Abhinav_Pan @WHO Modi govt missing in action..

Where is good governance? 

Parchar mantri ji ko vote vote kar raha ha.....🙏

I am sure people will vote wisely &amp; tell them please Focus on #COVID mangement otherwise we are heading towards more darkest situation. Jai Hind 🇮🇳 https://t.co/94x8cgBwZk","Rajasthan, India",,0,0,['COVID'],2812,False
2,2021-04-17 21:04:07+00:00,1383526711988350977,"Corona Control Room Number (Govt. of MP) :
0755-2527133.  #bhopal #corona #Covid","Bhopal, India",,2,1,"['bhopal', 'corona', 'Covid']",352,False
3,2021-04-17 20:05:24+00:00,1383511935157641216,"#Gurugram reported 2,549 fresh #COVID19 cases on Saturday, the highest single day spike in the district so far, being reported in the last 24 hours taking the total tally to 79,324 while the total death toll reached 374 with two more #COVID related deaths. https://t.co/fmSCBM1G0y",mumbai,,0,0,"['Gurugram', 'COVID19', 'COVID']",1046,False
4,2021-04-17 19:55:41+00:00,1383509491212189701,"All Hospitals are asking for #Covid #Plasma Therapy inspite of Evidence (Placid Trial) that it gave no benefit. Plasma is being sold. Hospitals charging thousands for procedure. Relatives are frustrated. 
 @ICMRDELHI @MoHFW_INDIA  please reissue guidelines to end this chaos? https://t.co/2wmpLhlB4J","Delhi, India",,132,204,"['Covid', 'Plasma']",10460,False
5,2021-04-17 19:47:18+00:00,1383507378981588998,"Need #Ventilator #bed in #Maharashtra urgently 
Please if you see this #Tweet , #retweet.
#coronavirus #Covid #Delhi #PrincePhilip #WestBengalElections2021 #KumbhMela_CoronaHotspot #IPL #Mumbai #MumbaiPolice #FarmersProtest #CHUANG2021xPatrickEp9 #VakeelSaab #ModiMadeDisaster",Mumbai,,3,1,"['Ventilator', 'bed', 'Maharashtra', 'Tweet', 'retweet', 'coronavirus', 'Covid', 'Delhi', 'PrincePhilip', 'WestBengalElections2021', 'KumbhMela_CoronaHotspot', 'IPL', 'Mumbai', 'MumbaiPolice', 'FarmersProtest', 'CHUANG2021xPatrickEp9', 'VakeelSaab', 'ModiMadeDisaster']",579,False
6,2021-04-17 19:30:03+00:00,1383503040422891520,@sureshpprabhu @KirenRijiju @RijijuOffice If our body   also had auto correction...then #covid would have been lost by now...well #vaccines provides that auto correction,Portblair,,0,0,"['covid', 'vaccines']",192,False
7,2021-04-17 19:20:04+00:00,1383500528869466115,Interview for Assistant Information Officer postponed in view of rising #covid cases across UT ..#jkssb https://t.co/AMDnwU8EE7,"Jammu, Jammu And Kashmir",,0,5,"['covid', 'jkssb']",112,False
8,2021-04-17 19:11:45+00:00,1383498435945385984,"#Chhattisgarh: At least four patients died after fire broke out at a #Covid ward in a private hospital in capital Raipur. District collector and senior superintendent of police rushed to the spot

CM Bhupesh Baghel announced Rs. Four lakh compensation to the kin of each deceased https://t.co/4sJrugUCXZ",mumbai,,0,0,"['Chhattisgarh', 'Covid']",1046,False
9,2021-04-17 19:03:40+00:00,1383496400034357253,@PMOIndia @AmitShah @ECISVEEP Is continuation of mass rallies more vital than lives of electorates?Till control of #Covid discontinue public meetings&amp;let electorate take own decisions? #PMModi Please stop rallies🆘&amp;prove #PMCares #ModiStopElectionRallies &amp;dont be #MautKaSaudagar https://t.co/G0BngXPIh3,"Mumbai, India",,17,9,"['Covid', 'PMModi', 'PMCares', 'ModiStopElectionRallies', 'MautKaSaudagar']",416,False
10,2021-04-17 18:49:00+00:00,1383492707566247939,"Doctors and nursing staff are busy in reducing your TENSION ...
YOU reduce their TENSION by following #covid guidelines ... 
#COVIDSecondWave
#indore #IndoreDefeatsCorona https://t.co/R3H65WzNV5 https://t.co/tphRUsENlN",Indore,,0,0,"['covid', 'COVIDSecondWave', 'indore', 'IndoreDefeatsCorona']",981,False
11,2021-04-17 18:35:02+00:00,1383489195281293314,"#Ghaziabad
Need #Blood Type :  AB +ve
At : Max Hospital, Vaishali (Gzb)
Blood Component : Plasma from B+ve, AB +ve/-ve #Covid 19 recovered patient 1 unit
Primary Number : 9999851286
Secondary Number : 9873047308
Via: @mohrag_official
#BloodMatters
@BloodDonorsIn @TeamSOSIndia",New Delhi,,0,0,"['Ghaziabad', 'Blood', 'Covid', 'BloodMatters']",9,False
12,2021-04-17 18:22:36+00:00,1383486067014213637,"Mask up, Stay safe 🙏!
#Covid
#coronavirus
#S!.","Cuttack, India",,0,0,"['Covid', 'coronavirus', 'S']",95,False
13,2021-04-17 18:18:20+00:00,1383484992076926980,📢Can we show this to our politicians busy with election campaigns n kumbh melas n not concerned about own safety &amp; the pain they are giving to medical fraternity(⛑️for more than a year now) 🙏🙏🙏 #COVID19ON #Covid #BreakTheChain  #BengalElections2021 @PMOIndia @COVIDNewsByMIB https://t.co/DXUuJNiSrb,India,,1,0,"['COVID19ON', 'Covid', 'BreakTheChain', 'BengalElections2021']",1306,False
14,2021-04-17 18:16:22+00:00,1383484497308512260,#Covid review meeting tomorrow at 5PM by CM of Rajasthan will be open for public. Live links in the twitte. https://t.co/Wxb99SqquL,As per GPS ,,0,0,['Covid'],305,False
15,2021-04-17 18:15:29+00:00,1383484276121817092,"#Covaxin safe vaccine #COVIDEmergency positive response #Remdesivir proper injection control of #covid 3rd stage patients. Uncontroble positive cases coming in daily #COVIDSecondWave  dangerous spreading all over India.Most of hospitals #COVIDー19
Centres.Maximum cases in #India https://t.co/wIdTtWV3po","Kamareddy, India",,0,1,"['Covaxin', 'COVIDEmergency', 'Remdesivir', 'covid', 'COVIDSecondWave', 'COVIDー19', 'India']",42,False
16,2021-04-17 18:15:26+00:00,1383484261848600576,"But of course elections and temples and rallies are more important than this right?
.
.
#COVID #COVID19 #delhi #coronavirus #ModiStopElectionRallies https://t.co/YCRYTB7hkU",Mumbai,,1,0,"['COVID', 'COVID19', 'delhi', 'coronavirus', 'ModiStopElectionRallies']",82,False
17,2021-04-17 18:06:48+00:00,1383482089547333634,@blsanthosh 5. Who threaten us to #WearAMask and himself becomes #COVID positive,"Bengaluru South, India",,1,7,"['WearAMask', 'COVID']",6190,False
18,2021-04-17 18:01:26+00:00,1383480738683650052,"@KirenRijiju Their is no Need to give advise to others go n check your self for covid test, if you're using a mask Properly #CoronaSecondWave #COVIDEmergency #Covid","Bengaluru, India",,0,0,"['CoronaSecondWave', 'COVIDEmergency', 'Covid']",180,False
19,2021-04-17 17:58:31+00:00,1383480003652841479,"Massive political rallies in Bengal (all parties) is big big concern amid huge rise in #COVID cases.
Digitising the election process is much needed digital transformation for India.",India,,0,0,['COVID'],133,False
20,2021-04-17 17:56:44+00:00,1383479557290815490,"@drharshvardhan @PMOIndia I have personally supported majority of the decision taken by the NDA Government. But seeing the recent days, it's just politics at this point. I feel like Govt doesn't bother about the citizens anyone, all you guys care about is Election.
#Covid #BJP",India,,0,0,"['Covid', 'BJP']",15,False
21,2021-04-17 17:43:13+00:00,1383476152245784593,"Don’t let the Stain Threaten your Life 😷

#COVID19India #wearmasksavelife #savelife #Quarantine #creative #reelsinstagram #covid #StayHome https://t.co/qS7h2tmLPq","Bengaluru, India",,0,0,"['COVID19India', 'wearmasksavelife', 'savelife', 'Quarantine', 'creative', 'reelsinstagram', 'covid', 'StayHome']",76,False
22,2021-04-17 17:41:06+00:00,1383475622605836293,"Just got to know that one of the sweetest girl whom (I) we know on Twitter for 5+ years got succumbed to #COVID today...
I'm numb.","Bengaluru South, India",,2,8,['COVID'],6190,False
23,2021-04-17 17:38:25+00:00,1383474944483287044,"The most unwelcome hat-trick ever: For three consecutive days, India has crossed 2 lakh #Covid positive cases and 1000 deaths :(
#COVID19India #SecondCOVIDWave 
 @ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind 
@airavatvolvo @FableFoible","Bengaluru, India",,1,2,"['Covid', 'COVID19India', 'SecondCOVIDWave']",4126,True
24,2021-04-17 17:31:56+00:00,1383473315126276096,My friend frm New Delhi got married to a girl from Assam.His parents tested covid positive just before boarding d flight from Delhi. Me &amp; my colleague @ChakrabortyPs substituted as d brother &amp; father of the groom during the ceremony  #covid #assam #guwahati #wedding #pandemic https://t.co/WSlA9leAwA,Ludhiana & Guwahati,,1,3,"['covid', 'assam', 'guwahati', 'wedding', 'pandemic']",221,False
25,2021-04-17 17:30:39+00:00,1383472992856932353,"Again exodus 🐾 again deadly afflictions for unorganised workers ........
#Covid #COVIDSecondWave","Sikar, India",,0,3,"['Covid', 'COVIDSecondWave']",27,False
26,2021-04-17 17:27:16+00:00,1383472138913341443,"5000+ tested #Covid Positive at Kumbh, this is Official Figure, Real Situation would be Worse. Any #FIR against Sadhus? Did any News Anchor call them ""Anti National"" yet...??
#CoronaKumbh
#COVID19outbreak 
#coronavirus 
#COVIDSecondWave https://t.co/10AnNZQcXe","Mumbai, India",,0,0,"['Covid', 'FIR', 'CoronaKumbh', 'COVID19outbreak', 'coronavirus', 'COVIDSecondWave']",69,False
27,2021-04-17 17:21:45+00:00,1383470749734760456,"This disease has been revealing truths for 1 year, many more to face.
#CoronaSecondWave #COVIDSecondWave #COVID #COVIDisAirborne #CoronavirusPandemic #COVID19","New Delhi, India",,0,3,"['CoronaSecondWave', 'COVIDSecondWave', 'COVID', 'COVIDisAirborne', 'CoronavirusPandemic', 'COVID19']",44,False
28,2021-04-17 17:21:21+00:00,1383470653106397184,"@AapkiBandana @AAPExpress @AAPDelhi 
Please look into number of rising cases in AA-Block Shalimar Bagh, Delhi. Especially near Fortis hospital. There are many hot-spots emerging there with house after house reporting #COVID cases. Kindly get a door to door test please.🙏🙏🙏🙏",भारत,,4,0,['COVID'],37,False
29,2021-04-17 17:21:21+00:00,1383470650455519233,"State updates of restrictions
#Maharashta #Delhi #Karnataka #Rajasthan #Covid #lockdown #IndiaFightsCOVID19
https://t.co/or8Ihvpl1j","Chennai, India",,0,0,"['Maharashta', 'Delhi', 'Karnataka', 'Rajasthan', 'Covid', 'lockdown', 'IndiaFightsCOVID19']",1305,False
30,2021-04-17 23:11:00+00:00,1383558644059361295,"Imma need someone to release a “I’m fully vaccinated” song to go with this dance I’m doing.

#covid 
#vaccinationdone✔️ @ Downey, California https://t.co/uo0ngCbYDB","Los Angeles, CA",,0,0,"['covid', 'vaccinationdone']",793,False
31,2021-04-17 22:41:24+00:00,1383551194287669253,"@Coopers_PR_Mom Ma is sore but she wouldn't complain Brother had #Covid Twice once at beginning and Just recently, Now he has to wait 2 months before he can get shot","British Columbia, Canada",,0,2,['Covid'],4338,False
